박쥐문별전,ㅂㅏㄱᴥㅈㅟᴥㅁㅜㄴᴥㅂㅕㄹᴥㅈㅓㄴᴥ
각향노리개,ㄱㅏㄱᴥㅎㅑㅇᴥㄴㅗᴥㄹㅣᴥㄱㅐᴥ
각형지장함,ㄱㅏㄱᴥㅎㅕㅇᴥㅈㅣᴥㅈㅏㅇᴥㅎㅏㅁᴥ
각화,ㄱㅏㄱᴥㅎㅘᴥ
간가결구,ㄱㅏㄴᴥㄱㅏᴥㄱㅕㄹᴥㄱㅜᴥ
간다라,ㄱㅏㄴᴥㄷㅏᴥㄹㅏᴥ
간돌검,ㄱㅏㄴᴥㄷㅗㄹᴥㄱㅓㅁᴥ
간돌칼,ㄱㅏㄴᴥㄷㅗㄹᴥㅋㅏㄹᴥ
간두령,ㄱㅏㄴᴥㄷㅜᴥㄹㅕㅇᴥ
간록자서,ㄱㅏㄴᴥㄹㅗㄱᴥㅈㅏᴥㅅㅓᴥ
간살,ㄱㅏㄴᴥㅅㅏㄹᴥ
간상체,ㄱㅏㄴᴥㅅㅏㅇᴥㅊㅔᴥ
비하라,ㅂㅣᴥㅎㅏᴥㄹㅏᴥ
갈대꽃문,ㄱㅏㄹᴥㄷㅐᴥㄲㅗㅊᴥㅁㅜㄴᴥ
플라치디아,ㅍㅡㄹᴥㄹㅏᴥㅊㅣᴥㄷㅣᴥㅇㅏᴥ
갈런드,ㄱㅏㄹᴥㄹㅓㄴᴥㄷㅡᴥ
비비에나,ㅂㅣᴥㅂㅣᴥㅇㅔᴥㄴㅏᴥ
갈리아인,ㄱㅏㄹᴥㄹㅣᴥㅇㅏᴥㅇㅣㄴᴥ
갈마,ㄱㅏㄹᴥㅁㅏᴥ
갈마만다라,ㄱㅏㄹᴥㅁㅏᴥㅁㅏㄴᴥㄷㅏᴥㄹㅏᴥ
갈매색,ㄱㅏㄹᴥㅁㅐᴥㅅㅐㄱᴥ
갈물색,ㄱㅏㄹᴥㅁㅜㄹᴥㅅㅐㄱᴥ
갈보리,ㄱㅏㄹᴥㅂㅗᴥㄹㅣᴥ
갈산,ㄱㅏㄹᴥㅅㅏㄴᴥ
갈색문단저고리,ㄱㅏㄹᴥㅅㅐㄱᴥㅁㅜㄴᴥㄷㅏㄴᴥㅈㅓᴥㄱㅗᴥㄹㅣᴥ
갈홍,ㄱㅏㄹᴥㅎㅗㅇᴥ
감광유제,ㄱㅏㅁᴥㄱㅘㅇᴥㅇㅠᴥㅈㅔᴥ
